,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,2367595000,5,454406661,-734767972,19840,56,75,5,25120,31
1,2367795000,5,454406661,-734767972,19840,56,75,4,25120,31
2,2368195000,5,454406661,-734767971,19840,56,75,1,25120,31
3,2368395000,5,454406661,-734767972,19840,56,75,2,25120,31
4,2368595000,5,454406661,-734767972,19840,56,75,6,25120,31
5,2368795000,5,454406661,-734767972,19840,58,77,0,25120,31
6,2369195000,5,454406661,-734767972,19850,58,77,5,25120,31
7,2369395000,5,454406661,-734767972,19840,58,77,2,25120,31
8,2369595000,5,454406661,-734767971,19840,58,77,2,25120,31
9,2369798000,5,454406661,-734767971,19840,58,77,1,25120,31
10,2370198000,5,454406661,-734767971,19840,58,77,5,25120,31
11,2370398000,5,454406661,-734767971,19840,58,77,1,25120,31
12,2370598000,5,454406661,-734767971,19840,58,77,2,25120,31
13,2370798000,5,454406661,-734767971,19850,58,77,4,25120,31
14,2371198000,5,454406661,-734767971,19850,58,77,2,25120,31
15,2371398000,5,454406661,-734767971,19850,58,77,4,25120,31
16,2371598000,5,454406661,-734767971,19850,58,77,4,25120,31
17,2371798000,5,454406661,-734767971,19840,58,77,4,25120,31
18,2372198000,5,454406661,-734767971,19840,58,77,4,25120,31
19,2372398000,5,454406661,-734767971,19840,58,77,0,25120,30
20,2372598000,5,454406661,-734767971,19850,58,77,4,25120,31
21,2372798000,5,454406661,-734767971,19850,58,77,3,25120,32
22,2373198000,5,454406661,-734767971,19850,58,77,3,25120,32
23,2373398000,5,454406661,-734767970,19850,58,77,4,25120,32
24,2373598000,5,454406661,-734767970,19840,58,77,1,25120,32
25,2373798000,5,454406661,-734767970,19850,58,77,4,25120,32
26,2374198000,5,454406661,-734767970,19850,58,77,0,25120,32
27,2374398000,5,454406661,-734767970,19850,58,77,0,25120,32
28,2374598000,5,454406661,-734767970,19850,58,77,0,25120,32
29,2374798000,5,454406661,-734767970,19860,58,77,1,25120,32
30,2375198000,5,454406662,-734767969,19850,58,77,0,25120,31
31,2375398000,5,454406662,-734767970,19860,58,77,1,25120,32
32,2375598000,5,454406662,-734767969,19860,58,77,4,25120,32
33,2375798000,5,454406661,-734767970,19860,58,77,1,25120,32
34,2376198000,5,454406662,-734767970,19860,58,77,3,25120,32
35,2376398000,5,454406661,-734767970,19860,58,77,2,25120,32
36,2376598000,5,454406662,-734767969,19850,58,77,3,25120,32
37,2376798000,5,454406662,-734767969,19850,58,77,1,25120,32
38,2377198000,5,454406662,-734767969,19860,58,77,4,25120,31
39,2377398000,5,454406662,-734767969,19850,58,77,0,25120,31
40,2377598000,5,454406662,-734767969,19850,58,77,3,25120,31
41,2377798000,5,454406662,-734767969,19850,58,77,5,25120,31
42,2378198000,5,454406662,-734767969,19850,58,77,2,25120,32
43,2378398000,5,454406662,-734767969,19840,58,77,3,25120,31
44,2378598000,5,454406662,-734767969,19850,56,75,3,25120,32
45,2378798000,5,454406662,-734767970,19850,56,75,5,25120,32
46,2379198000,5,454406661,-734767970,19850,56,75,4,25120,32
47,2379398000,5,454406661,-734767970,19840,56,75,0,25120,32
48,2379598000,5,454406661,-734767969,19850,56,75,6,25120,32
49,2379798000,5,454406661,-734767970,19850,56,75,4,25120,32
50,2380198000,5,454406661,-734767969,19850,56,75,5,25120,31
51,2380398000,5,454406661,-734767969,19850,56,75,1,25120,31
52,2380598000,5,454406661,-734767970,19840,56,75,2,25120,31
53,2380798000,5,454406661,-734767972,19840,56,75,3,25120,31
54,2381198000,5,454406661,-734767973,19830,58,78,5,25120,31
