,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,782564000,5,454406672,-734767990,19610,59,84,1,28428,27
1,782764000,5,454406673,-734767990,19610,59,84,3,28428,27
2,782964000,5,454406673,-734767990,19610,59,84,1,28428,27
3,783164000,5,454406673,-734767990,19610,59,84,3,28428,27
4,783564000,5,454406673,-734767990,19610,59,84,1,28428,27
5,783764000,5,454406673,-734767990,19610,59,84,2,28428,27
6,783964000,5,454406673,-734767990,19610,59,84,3,28428,27
7,784164000,5,454406673,-734767990,19600,64,94,0,28428,27
8,784564000,5,454406673,-734767990,19600,64,94,4,28428,26
9,784764000,5,454406673,-734767990,19600,64,94,2,28428,26
10,784964000,5,454406673,-734767990,19600,67,95,2,28428,27
11,785164000,5,454406672,-734767990,19600,64,94,1,28428,26
12,785564000,5,454406672,-734767990,19600,64,94,2,28428,27
13,785764000,5,454406672,-734767990,19600,64,94,1,28428,27
14,785964000,5,454406672,-734767990,19610,64,94,0,28428,27
15,786364000,5,454406672,-734767990,19610,64,94,2,28428,27
16,786564000,5,454406672,-734767990,19610,64,94,3,28428,27
17,786764000,5,454406672,-734767990,19610,64,94,3,28428,27
18,786964000,5,454406672,-734767990,19610,64,94,2,28428,26
19,787164000,5,454406672,-734767990,19600,64,94,0,28428,27
20,787564000,5,454406672,-734767990,19610,64,94,1,28428,26
21,787764000,5,454406672,-734767990,19610,64,94,0,28428,27
22,787964000,5,454406673,-734767990,19610,67,95,3,28428,27
23,788164000,5,454406673,-734767990,19610,64,94,2,28428,27
24,788564000,5,454406673,-734767991,19610,64,94,3,28428,26
25,788764000,5,454406672,-734767991,19610,64,94,3,28428,27
26,788964000,5,454406672,-734767990,19610,64,94,0,28428,27
27,789164000,5,454406672,-734767990,19610,64,94,2,28428,27
28,789564000,5,454406672,-734767991,19610,64,94,1,28428,27
29,789764000,5,454406672,-734767991,19610,64,94,5,28428,27
30,789964000,5,454406672,-734767990,19610,64,94,2,28428,27
31,790364000,5,454406673,-734767990,19610,64,94,2,28428,27
32,790564000,5,454406672,-734767991,19610,64,94,4,28428,27
33,790764000,5,454406672,-734767991,19620,64,94,2,28428,27
34,790964000,5,454406672,-734767991,19610,64,94,4,28428,27
35,791164000,5,454406672,-734767991,19620,64,94,7,28428,27
36,791564000,5,454406672,-734767991,19610,64,94,2,28428,27
37,791764000,5,454406672,-734767990,19610,64,94,1,28428,27
38,791964000,5,454406672,-734767991,19610,64,94,0,28428,27
39,792364000,5,454406672,-734767991,19610,64,94,2,28428,27
40,792564000,5,454406672,-734767990,19610,64,94,1,28428,27
41,792764000,5,454406672,-734767990,19610,64,94,3,28428,27
42,792964000,5,454406672,-734767990,19610,64,94,0,28428,27
43,793164000,5,454406672,-734767991,19610,64,94,1,28428,27
44,793564000,5,454406672,-734767991,19610,59,84,3,28428,27
45,793764000,5,454406672,-734767991,19610,59,84,0,28428,27
46,793964000,5,454406672,-734767991,19610,61,84,2,28428,26
47,794364000,5,454406672,-734767990,19610,61,84,2,28428,26
48,794564000,5,454406672,-734767991,19610,59,84,2,28428,27
49,794764000,5,454406672,-734767990,19610,59,84,1,28428,27
