,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
89,547946000,6,454406014,-734765432,19010,64,92,0,15554,26
90,548146000,6,454406014,-734765432,19010,64,92,3,15554,27
91,548546000,6,454406014,-734765432,19010,64,92,2,15554,27
92,548746000,6,454406014,-734765432,19010,64,92,0,15554,27
93,548946000,6,454406014,-734765432,19010,64,92,3,15554,27
94,549146000,6,454406014,-734765432,19010,64,92,1,15554,26
95,549546000,6,454406014,-734765432,19010,64,92,1,15554,27
96,549748000,6,454406014,-734765432,19000,64,92,0,15554,27
97,549948000,6,454406014,-734765432,19010,64,92,1,15554,27
98,550148000,6,454406014,-734765432,19000,64,92,1,15554,27
99,550548000,6,454406014,-734765432,19000,64,92,0,15554,27
100,550748000,6,454406014,-734765432,19000,64,92,0,15554,27
101,550948000,6,454406013,-734765432,19010,64,92,1,15554,27
102,551148000,6,454406014,-734765432,19010,64,92,0,15554,27
103,551348000,6,454406013,-734765432,19010,64,92,2,15554,27
104,551748000,6,454406014,-734765432,19010,64,92,3,15554,27
105,551948000,6,454406014,-734765432,19000,64,92,2,15554,27
106,552148000,6,454406014,-734765432,19000,64,92,1,15554,27
107,552548000,6,454406014,-734765432,19000,64,92,1,15554,27
108,552748000,6,454406014,-734765432,19000,64,92,0,15554,27
109,552948000,6,454406014,-734765432,19000,64,92,0,15554,27
110,553148000,6,454406014,-734765432,19000,64,92,1,15554,27
111,553548000,6,454406014,-734765432,19000,64,92,2,15554,27
112,553748000,6,454406014,-734765432,19000,64,92,0,15554,27
113,553948000,6,454406014,-734765432,19000,64,92,1,15554,27
114,554148000,6,454406014,-734765432,19000,64,92,1,15554,27
115,554348000,6,454406014,-734765432,19000,64,92,1,15554,27
116,554748000,6,454406014,-734765432,19000,64,92,0,15554,27
117,554948000,6,454406014,-734765432,18990,64,92,0,15554,27
118,555148000,6,454406014,-734765432,19000,64,92,1,15554,27
119,555548000,6,454406014,-734765432,19000,64,92,1,15554,27
120,555748000,6,454406013,-734765432,19000,64,92,2,15554,27
121,555948000,6,454406014,-734765432,19010,64,92,1,15554,27
122,556148000,6,454406014,-734765432,19000,64,92,0,15554,27
123,556548000,6,454406014,-734765432,19000,59,84,2,15554,27
124,556748000,6,454406014,-734765432,19000,59,84,1,15554,27
125,556948000,6,454406014,-734765432,19000,59,84,2,15554,27
126,557148000,6,454406014,-734765432,19000,59,84,1,15554,27
127,557348000,6,454406014,-734765432,19000,59,84,1,15554,27
