,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,638753000,6,454405668,-734766133,19030,61,90,1,18203,27
1,638953000,6,454405668,-734766133,19030,61,90,0,18203,26
2,639153000,6,454405668,-734766132,19020,61,90,3,18203,26
3,639553000,6,454405668,-734766132,19020,61,90,2,18203,27
4,639753000,6,454405668,-734766132,19020,61,90,1,18203,26
5,639953000,6,454405668,-734766132,19020,61,90,1,18203,26
6,640153000,6,454405668,-734766132,19020,61,90,0,18203,26
7,640553000,6,454405668,-734766132,19020,61,90,1,18203,26
8,640753000,6,454405668,-734766132,19020,61,90,3,18203,26
9,640953000,6,454405668,-734766133,19020,61,90,1,18203,27
10,641153000,6,454405668,-734766133,19020,61,90,0,18203,27
11,641553000,6,454405668,-734766133,19020,61,90,3,18203,26
12,641753000,6,454405668,-734766132,19020,61,90,1,18203,26
13,641953000,6,454405668,-734766133,19020,61,90,0,18203,27
14,642353000,6,454405668,-734766132,19020,61,90,0,18203,26
15,642553000,6,454405668,-734766132,19020,61,90,1,18203,26
16,642753000,6,454405668,-734766132,19020,61,90,0,18203,26
17,642953000,6,454405668,-734766133,19020,61,90,0,18203,26
18,643153000,6,454405668,-734766133,19020,61,90,2,18203,26
19,643553000,6,454405668,-734766132,19030,61,90,2,18203,26
20,643753000,6,454405668,-734766132,19020,61,90,0,18203,26
21,643953000,6,454405668,-734766132,19030,61,90,0,18203,26
22,644353000,6,454405668,-734766132,19030,61,90,1,18203,26
23,644553000,6,454405668,-734766132,19030,61,90,0,18203,26
24,644753000,6,454405668,-734766132,19020,61,90,1,18203,26
25,644953000,6,454405668,-734766132,19020,61,90,2,18203,26
26,645153000,6,454405668,-734766132,19030,61,90,3,18203,26
27,645553000,6,454405668,-734766132,19020,61,90,2,18203,26
28,645753000,6,454405668,-734766132,19020,61,90,3,18203,26
29,645953000,6,454405668,-734766132,19020,61,90,1,18203,26
30,646153000,6,454405668,-734766132,19020,61,90,0,18203,27
31,646553000,6,454405667,-734766132,19020,61,90,2,18203,27
32,646753000,6,454405668,-734766132,19030,61,90,1,18203,26
33,646953000,6,454405668,-734766132,19030,61,90,2,18203,26
34,647153000,6,454405668,-734766132,19020,61,90,0,18203,26
35,647553000,6,454405668,-734766133,19020,61,90,1,18203,26
36,647753000,6,454405668,-734766133,19020,61,90,0,18203,26
37,647953000,6,454405668,-734766132,19020,61,90,0,18203,26
38,648353000,6,454405668,-734766133,19030,61,90,0,18203,26
39,648553000,6,454405668,-734766132,19030,61,90,0,18203,26
40,648753000,6,454405668,-734766132,19030,61,90,2,18203,26
41,648953000,6,454405668,-734766133,19020,61,90,1,18203,26
42,649153000,6,454405668,-734766133,19020,61,90,1,18203,26
43,649553000,6,454405668,-734766133,19020,61,90,2,18203,26
44,649755000,6,454405668,-734766132,19030,61,90,0,18203,26
45,649955000,6,454405668,-734766132,19030,61,90,1,18203,26
46,650155000,6,454405668,-734766133,19020,61,90,1,18203,26
47,650555000,6,454405668,-734766132,19020,61,90,3,18203,26
48,650755000,6,454405668,-734766132,19020,61,90,0,18203,26
49,650955000,6,454405668,-734766132,19030,61,90,1,18203,26
50,651155000,6,454405668,-734766133,19030,61,90,1,18203,26
51,651555000,6,454405668,-734766133,19030,61,90,1,18203,26
52,651755000,6,454405668,-734766132,19030,61,90,1,18203,27
53,651955000,6,454405668,-734766133,19020,61,90,1,18203,27
54,652355000,6,454405668,-734766132,19020,61,90,1,18203,27
55,652555000,6,454405668,-734766132,19030,61,90,0,18203,27
56,652755000,6,454405668,-734766132,19030,61,90,0,18203,26
57,652955000,6,454405668,-734766132,19020,61,90,0,18203,26
58,653155000,6,454405668,-734766132,19020,61,90,0,18203,26
59,653555000,6,454405668,-734766132,19020,61,90,1,18203,27
60,653755000,6,454405668,-734766132,19030,61,90,1,18203,26
61,653955000,6,454405668,-734766132,19020,61,90,2,18203,26
62,654355000,6,454405668,-734766132,19020,61,90,0,18203,26
63,654555000,6,454405668,-734766132,19020,61,90,2,18203,26
64,654755000,6,454405668,-734766132,19020,61,90,2,18203,27
65,654955000,6,454405668,-734766132,19020,61,90,3,18203,27
66,655155000,6,454405668,-734766133,19020,61,90,1,18203,27
67,655555000,6,454405668,-734766132,19020,61,90,2,18203,27
68,655755000,6,454405668,-734766133,19020,61,90,1,18203,27
69,655955000,6,454405668,-734766133,19020,61,90,3,18203,27
70,656155000,6,454405668,-734766133,19020,61,90,1,18203,27
71,656555000,6,454405668,-734766132,19020,61,90,2,18203,26
72,656755000,6,454405668,-734766133,19020,61,90,3,18203,26
73,656955000,6,454405668,-734766133,19020,61,90,0,18203,26
