,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,2178583000,6,454405714,-734766093,19270,60,78,1,32213,31
1,2178983000,6,454405714,-734766093,19270,60,78,0,32213,31
2,2179183000,6,454405714,-734766094,19260,60,78,2,32213,31
3,2179383000,6,454405714,-734766093,19270,60,78,0,32213,31
4,2179583000,6,454405714,-734766093,19270,60,78,2,32213,31
5,2179783000,6,454405714,-734766093,19270,60,78,0,32213,31
6,2180183000,6,454405714,-734766094,19270,60,78,0,32213,31
7,2180383000,6,454405714,-734766093,19270,60,78,0,32213,31
8,2180583000,6,454405714,-734766093,19270,60,78,1,32213,31
9,2180783000,6,454405714,-734766093,19270,60,78,0,32213,31
10,2181183000,6,454405713,-734766093,19270,60,78,0,32213,31
11,2181383000,6,454405714,-734766093,19270,60,78,2,32213,31
12,2181583000,6,454405713,-734766094,19260,60,78,3,32213,31
13,2181783000,6,454405714,-734766093,19270,60,78,0,32213,31
14,2182183000,6,454405714,-734766093,19270,60,78,0,32213,31
15,2182383000,6,454405714,-734766093,19270,60,78,0,32213,31
16,2182583000,6,454405714,-734766093,19270,60,78,0,32213,31
17,2182783000,6,454405713,-734766093,19270,60,78,0,32213,31
18,2183183000,6,454405714,-734766093,19270,60,78,1,32213,31
19,2183383000,6,454405713,-734766093,19270,60,78,0,32213,31
20,2183583000,6,454405713,-734766093,19270,60,78,1,32213,31
21,2183783000,6,454405713,-734766093,19270,56,74,1,32213,31
22,2184183000,6,454405713,-734766093,19260,56,74,0,32213,31
23,2184383000,6,454405713,-734766093,19260,56,74,1,32213,31
24,2184583000,6,454405713,-734766093,19270,56,74,1,32213,31
25,2184783000,6,454405713,-734766093,19260,56,74,1,32213,31
26,2185183000,6,454405713,-734766093,19270,56,74,2,32213,31
27,2185383000,6,454405713,-734766093,19270,56,74,1,32213,31
28,2185583000,6,454405713,-734766093,19260,56,74,0,32213,31
29,2185783000,6,454405713,-734766093,19270,60,78,0,32213,31
30,2186183000,6,454405713,-734766093,19270,60,78,0,32213,31
31,2186383000,6,454405713,-734766093,19270,60,78,2,32213,32
32,2186583000,6,454405713,-734766093,19270,60,78,0,32213,32
33,2186783000,6,454405713,-734766093,19270,60,78,0,32213,32
34,2187183000,6,454405713,-734766093,19270,60,78,2,32213,32
35,2187383000,6,454405713,-734766093,19270,60,78,0,32213,32
36,2187583000,6,454405714,-734766094,19270,60,78,1,32213,32
37,2187783000,6,454405714,-734766094,19280,60,78,2,32213,32
38,2188183000,6,454405713,-734766094,19280,60,78,2,32213,32
39,2188383000,6,454405713,-734766094,19290,60,78,1,32213,31
40,2188583000,6,454405713,-734766093,19290,60,78,0,32213,31
41,2188783000,6,454405713,-734766094,19280,60,78,0,32213,31
42,2189183000,6,454405713,-734766094,19280,60,78,1,32213,31
43,2189383000,6,454405714,-734766093,19290,60,78,0,32213,31
44,2189583000,6,454405714,-734766094,19290,60,78,1,32213,31
45,2189786000,6,454405714,-734766094,19280,60,78,0,32213,31
46,2190186000,6,454405713,-734766093,19290,60,78,1,32213,31
47,2190386000,6,454405713,-734766094,19280,60,78,1,32213,31
48,2190586000,6,454405714,-734766094,19280,60,78,0,32213,31
49,2190786000,6,454405713,-734766094,19280,60,78,0,32213,31
50,2191186000,6,454405714,-734766093,19290,60,78,1,32213,31
51,2191386000,6,454405713,-734766094,19280,60,78,0,32213,31
52,2191586000,6,454405713,-734766094,19280,60,78,1,32213,31
53,2191786000,6,454405713,-734766093,19280,60,78,2,32213,31
54,2192186000,6,454405713,-734766093,19280,60,78,1,32213,31
55,2192386000,6,454405713,-734766093,19280,60,78,0,32213,31
56,2192586000,6,454405713,-734766093,19280,60,78,1,32213,31
57,2192786000,6,454405713,-734766094,19280,60,78,1,32213,31
58,2193186000,6,454405713,-734766093,19280,60,78,1,32213,31
59,2193386000,6,454405713,-734766093,19290,60,78,1,32213,31
60,2193586000,6,454405713,-734766093,19290,60,78,0,32213,31
61,2193786000,6,454405713,-734766093,19290,60,78,1,32213,31
62,2194186000,6,454405713,-734766093,19280,60,78,0,32213,31
63,2194386000,6,454405713,-734766093,19280,60,78,1,32213,31
64,2194586000,6,454405713,-734766093,19290,60,78,1,32213,31
65,2194786000,6,454405713,-734766093,19290,60,78,0,32213,31
66,2195186000,6,454405713,-734766093,19280,60,78,1,32213,31
67,2195386000,6,454405713,-734766093,19290,60,78,0,32213,31
68,2195586000,6,454405713,-734766093,19290,60,78,0,32213,31
69,2195786000,6,454405713,-734766093,19290,60,78,1,32213,31
70,2196186000,6,454405713,-734766093,19280,60,78,0,32213,32
71,2196386000,6,454405713,-734766093,19290,60,78,0,32213,32
72,2196586000,6,454405713,-734766093,19290,60,78,1,32213,32
73,2196786000,6,454405713,-734766093,19280,60,78,1,32213,32
74,2197186000,6,454405713,-734766093,19280,60,78,1,32213,32
75,2197386000,6,454405713,-734766093,19280,60,78,2,32213,32
76,2197586000,6,454405713,-734766093,19280,60,78,0,32213,32
77,2197786000,6,454405713,-734766093,19280,60,78,1,32213,32
78,2198186000,6,454405713,-734766093,19280,60,78,0,32213,32
79,2198386000,6,454405713,-734766093,19280,60,78,1,32213,32
80,2198586000,6,454405713,-734766093,19280,60,78,1,32213,32
81,2198786000,6,454405713,-734766093,19280,60,78,1,32213,32
82,2199186000,6,454405713,-734766093,19280,60,78,1,32213,32
83,2199386000,6,454405713,-734766093,19280,60,78,2,32213,32
84,2199586000,6,454405713,-734766093,19280,60,78,1,32213,32
85,2199786000,6,454405713,-734766093,19280,60,78,2,32213,32
86,2200186000,6,454405713,-734766093,19280,60,78,0,32213,32
87,2200386000,6,454405713,-734766093,19280,60,78,0,32213,32
88,2200586000,6,454405713,-734766093,19280,60,78,1,32213,32
89,2200786000,6,454405713,-734766093,19280,60,78,0,32213,32
90,2201186000,6,454405713,-734766093,19280,60,78,1,32213,32
91,2201386000,6,454405713,-734766092,19280,60,78,0,32213,32
92,2201586000,6,454405713,-734766092,19280,60,78,1,32213,32
93,2201786000,6,454405713,-734766092,19280,60,78,0,32213,32
94,2202186000,6,454405713,-734766092,19280,60,78,0,32213,32
95,2202386000,6,454405713,-734766092,19280,60,78,0,32213,32
96,2202586000,6,454405713,-734766092,19280,60,78,1,32213,32
97,2202786000,6,454405713,-734766092,19280,60,78,0,32213,32
98,2203186000,6,454405713,-734766093,19290,60,78,1,32213,32
99,2203386000,6,454405713,-734766093,19290,60,78,1,32213,32
100,2203586000,6,454405713,-734766093,19290,60,78,1,32213,32
101,2203786000,6,454405713,-734766093,19290,60,78,0,32213,32
102,2204186000,6,454405713,-734766093,19290,60,78,1,32213,32
103,2204386000,6,454405713,-734766093,19290,60,78,1,32213,32
104,2204586000,6,454405713,-734766093,19290,60,78,1,32213,32
105,2204786000,6,454405713,-734766093,19300,60,78,1,32213,32
106,2205186000,6,454405714,-734766093,19290,60,78,1,32213,32
107,2205386000,6,454405713,-734766093,19300,60,78,2,32213,32
108,2205586000,6,454405713,-734766093,19300,60,78,1,32213,32
109,2205786000,6,454405713,-734766093,19290,60,78,1,32213,32
110,2206186000,6,454405713,-734766093,19300,60,78,0,32213,32
111,2206386000,6,454405713,-734766092,19300,60,78,2,32213,32
112,2206586000,6,454405713,-734766093,19300,60,78,1,32213,32
113,2206786000,6,454405713,-734766093,19290,60,78,1,32213,32
114,2207186000,6,454405713,-734766093,19300,60,78,1,32213,32
115,2207386000,6,454405713,-734766093,19300,60,78,0,32213,32
116,2207586000,6,454405713,-734766093,19300,60,78,0,32213,32
117,2207786000,6,454405713,-734766093,19300,60,78,1,32213,32
118,2208186000,6,454405714,-734766093,19300,60,78,1,32213,32
119,2208386000,6,454405713,-734766093,19300,60,78,1,32213,32
120,2208586000,6,454405714,-734766092,19300,60,78,1,32213,32
121,2208786000,6,454405714,-734766092,19300,60,78,0,32213,32
122,2209186000,6,454405713,-734766092,19300,60,78,0,32213,32
123,2209386000,6,454405713,-734766092,19300,60,78,0,32213,32
124,2209586000,6,454405713,-734766092,19300,60,78,1,32213,32
125,2209787000,6,454405713,-734766092,19300,60,78,1,32213,32
126,2210187000,6,454405713,-734766092,19300,60,78,1,32213,32
127,2210387000,6,454405713,-734766092,19300,60,78,0,32213,32
